nombre,enlace,link_imagen,precio,valor_nutricional,oferta,precio_por_peso
Cereales copos de maíz corn flakes Kellogg's Corn Flakes caja 500 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/19372,https://www.dia.es/product_images/19372/19372_ISO_0_ES.jpg?imwidth=392,"3,00 €",Grasas 0.9g de las cuales saturadas 0.2g Hidratos de Carbono 84g de los cuales azúcares 8g Fibra alimentaria 3g Proteínas 7g Ácido Fólico 166µg Sal 1.1g Hierro 8mg Niacina 13µg Riboflavinas 1.2mg Tiamina 0.91mg,No disponible,"(6,00 €/KILO)"
Cereales de arroz inflado Kellogg's Choco Krispies caja 420 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/130840,https://www.dia.es/product_images/130840/130840_ISO_0_ES.jpg?imwidth=392,"3,55 €",Grasas 1.9g de las cuales saturadas 0.9g Hidratos de Carbono 84g de los cuales azúcares 17g Fibra alimentaria 3.8g Proteínas 6.3g Ácido Fólico 166µg Sal 0.65g Hierro 8mg Niacina 13µg Riboflavinas 1.2mg Tiamina 0.91mg,No disponible,"(8,45 €/KILO)"
Cereales de bolas con chocolate Gran Dia caja 500 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/76223,https://www.dia.es/product_images/76223/76223_ISO_0_ES.jpg?imwidth=392,"2,15 €",Grasas 2.9g de las cuales saturadas 1.1g Hidratos de Carbono 77g de los cuales azúcares 22g Fibra alimentaria 5.5g Proteínas 8.3g Ácido Fólico 170µg Sal 0.48g Biotina 43µg Hierro 12mg Niacina 14µg Ácido pantoténico 5.1mg Riboflavinas 1.2mg Tiamina 0.9mg,No disponible,"(4,30 €/KILO)"
Muesli con frutas Gran Dia bolsa 1 Kg,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/37201,https://www.dia.es/product_images/37201/37201_ISO_0_ES.jpg?imwidth=392,"2,45 €",Grasas 5.9g de las cuales saturadas 3.4g Hidratos de Carbono 61.5g de los cuales azúcares 16.1g Fibra alimentaria 9.4g Proteínas 8.5g Sal 0.12g,No disponible,"(2,45 €/KILO)"
Cereales de copos de maíz con azúcar Gran Dia caja 500 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/37253,https://www.dia.es/product_images/37253/37253_ISO_0_ES.jpg?imwidth=392,"2,05 €",Grasas 0.9g de las cuales saturadas 0.4g Hidratos de Carbono 85.1g de los cuales azúcares 24.4g Fibra alimentaria 6g Proteínas 6.5g Ácido Fólico 200µg Sal 1.5g Biotina 43µg Hierro 7mg Niacina 16µg Ácido pantoténico 6mg Riboflavinas 1.4mg Tiamina 1.1mg,No disponible,"(4,10 €/KILO)"
Cereales copos de trigo integral fibre flakes Gran Dia caja 375 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/53222,https://www.dia.es/product_images/53222/53222_ISO_0_ES.jpg?imwidth=392,"1,79 €",Grasas 2.4g de las cuales saturadas 0.8g Hidratos de Carbono 71.9g de los cuales azúcares 13.8g Fibra alimentaria 9.8g Proteínas 10.6g Ácido Fólico 200µg Sal 1.5g Hierro 7mg Niacina 16µg Ácido pantoténico 6mg Riboflavinas 1.4mg Tiamina 1.1mg,No disponible,"(4,77 €/KILO)"
"Cereales copos de trigo, arroz y cebada con chocolate negro Gran Dia caja 300 g",https://www.dia.es/galletas-bollos-y-cereales/cereales/p/67929,https://www.dia.es/product_images/67929/67929_ISO_0_ES.jpg?imwidth=392,"1,95 €",Grasas 5.5g de las cuales saturadas 3.8g Hidratos de Carbono 75.7g de los cuales azúcares 22g Fibra alimentaria 6.2g Proteínas 7.3g Ácido Fólico 200µg Sal 0.63g Biotina 43µg Hierro 7mg Niacina 16µg Ácido pantoténico 6mg Riboflavinas 1.4mg Tiamina 1.1mg,No disponible,"(6,50 €/KILO)"
Barritas de cereales con chocolate nesquik Nestlé caja 150 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/87246,https://www.dia.es/product_images/87246/87246_ISO_0_ES.jpg?imwidth=392,"2,99 €",Grasas 11.5g de las cuales saturadas 5g Hidratos de Carbono 66.6g de los cuales azúcares 21.8g Fibra alimentaria 5.2g Proteínas 6.6g Ácido Fólico 190µg Sal 0.42g Calcio 1360mg Hierro 10mg Niacina 14µg Ácido pantoténico 5.1mg Riboflavinas 1.5mg,No disponible,"(19,93 €/KILO)"
Cereales integrales con chocolate negro Nestlé Fitness caja 375 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/87245,https://www.dia.es/product_images/87245/87245_ISO_0_ES.jpg?imwidth=392,"3,49 €",Grasas 8.1g de las cuales saturadas 4.6g Hidratos de Carbono 68.5g de los cuales azúcares 14.7g Fibra alimentaria 8.8g Proteínas 9.2g Ácido Fólico 90µg Sal 0.44g Calcio 388mg Hierro 8.1mg Niacina 6.8µg Ácido pantoténico 3.7mg Riboflavinas 0.94mg,No disponible,"(9,31 €/KILO)"
Barritas de cereales con chocolate con leche Corny caja 150 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/85271,https://www.dia.es/product_images/85271/85271_ISO_0_ES.jpg?imwidth=392,"2,49 €",Grasas 18g de las cuales saturadas 10g Hidratos de Carbono 67g de los cuales azúcares 34g Fibra alimentaria 3.3g Proteínas 6.3g Sal 0.51g,No disponible,"(16,60 €/KILO)"
Cereales de trigo y maíz tostados con pepitas al cacao Nestlé Cookie Crisp caja 375 g,https://www.dia.es/galletas-bollos-y-cereales/cereales/p/74726,https://www.dia.es/product_images/74726/74726_ISO_0_ES.jpg?imwidth=392,"3,59 €",Grasas 5.2g de las cuales saturadas 0.9g Hidratos de Carbono 78g de los cuales azúcares 22.4g Fibra alimentaria 6g Proteínas 6.7g Ácido Fólico 155µg Sal 0.66g Calcio 750mg Hierro 7.9mg Niacina 13µg Ácido pantoténico 5mg Riboflavinas 1.1mg,No disponible,"(9,57 €/KILO)"
